area_sqft,bhk,bathrooms,age,parking,lift,location_rating,floor,furnished,latitude,longitude,price_lakhs
3807,5,3,27,1,0,3,10,1,22.472225166683412,88.14872009075316,353.0
1815,4,2,14,1,1,5,11,0,23.037864796155034,72.51191658302916,246.46
2199,3,3,32,1,1,1,6,0,19.341321053410912,72.91497293070732,491.77
1663,2,2,27,0,1,4,17,1,12.859026645653646,77.60604081270668,305.84
1800,5,2,1,1,1,4,7,2,21.31839206608243,72.85481527943345,265.5
1480,4,1,10,1,1,4,7,0,27.1012768570729,75.91111440630857,206.74
718,3,1,7,1,1,2,0,0,18.962589393029397,72.77210999321605,374.13
1260,2,2,21,1,1,3,8,2,18.8425344924871,72.84060190111946,399.87
3946,4,1,3,1,0,5,14,2,18.913278899294973,72.62318794589727,826.47
3029,4,1,29,1,0,4,10,1,12.745252772820404,77.50777870284618,486.87
1708,2,2,22,1,0,3,8,1,17.500461619734164,78.3486474002791,209.14
3604,2,2,23,0,1,1,4,0,22.74513216841272,72.63773860038793,224.95
2567,1,1,3,1,0,2,11,1,13.003735853442796,77.64961803432763,302.5
1066,4,4,1,1,1,1,8,1,17.196911106239913,78.21146508493285,229.4
3111,3,3,9,1,0,4,8,1,28.636041207780323,77.36403799324205,503.3
2269,4,2,28,1,1,1,19,1,26.75711137454027,75.54286166068354,215.38
3408,4,1,16,1,1,1,19,0,12.879977228456768,80.50913251311624,391.71
2219,2,2,19,1,0,4,0,1,12.779293625532796,77.5138812707497,334.64
1458,3,3,2,1,1,5,18,2,23.101683175598357,72.748886782125,234.07
752,2,2,31,0,1,1,11,2,17.657357146201555,78.73591863413226,146.66
2068,5,5,4,1,1,5,0,1,18.877695648011656,72.911080757475,699.62
3033,1,1,13,1,0,2,1,1,23.232201876954804,72.35397279886521,194.18
3547,3,2,9,1,1,5,6,1,18.698977107380063,73.94597835846665,428.03
2818,1,1,33,1,1,3,16,0,19.269560336395795,72.79311438484676,480.14
3340,4,4,30,1,1,4,14,1,12.866011855450681,80.04964725334578,414.61
3975,3,2,9,1,1,1,11,1,18.879976592042507,72.67086222560265,685.38
1419,3,3,10,1,0,5,6,1,12.933403739206733,77.73202358993709,348.45
1296,2,1,21,0,0,4,4,1,18.834700496390603,72.8719695250701,386.78
1935,2,2,12,0,1,4,1,0,22.28118272417423,88.62306178484769,211.57
3387,1,1,33,0,1,3,19,1,28.636901955723914,77.18797293106542,412.4
1256,3,1,23,1,1,2,10,0,17.1266167805251,78.24746680082644,208.25
2952,4,2,1,0,1,2,17,1,23.24948320811623,72.71304262628233,278.48
3368,2,2,26,1,1,3,15,0,12.933009869529663,80.31832640740635,333.2
1848,3,3,5,1,1,1,12,2,17.3185210072405,78.19350259088817,253.81
375,2,2,4,1,1,5,4,0,26.809198727221947,75.89051107364622,127.1
1362,1,1,21,1,1,5,10,2,27.19319116638448,75.89981800610504,146.4
2839,4,4,26,1,1,5,4,0,21.21878325033607,73.04888311319341,268.67
516,3,3,29,1,1,4,6,1,22.81581263105684,88.12971848938369,166.03
472,1,1,15,0,0,1,6,2,19.126021259058298,73.15430352908471,173.3
1228,2,2,3,1,0,5,10,2,22.874794100793544,72.68924667386399,173.6
3773,2,1,21,0,1,3,15,2,27.161152605001462,76.06222144444472,244.2
967,2,2,7,1,0,4,17,0,22.93920705712316,72.42796991771256,150.5
3306,3,1,15,1,0,5,13,0,18.78431909628123,73.80598343464308,407.96
3171,4,3,30,0,0,1,17,2,20.960250134662118,72.88747842921128,262.6
3174,4,4,2,1,1,1,15,0,27.027028638301346,75.80760776501768,257.72
3344,3,2,25,1,0,1,13,0,22.436839078215545,88.18733658940484,262.95
1180,3,2,7,0,0,2,1,1,17.583822894037503,78.37166634386263,203.1
3578,3,2,33,1,1,4,1,1,22.625950612112778,88.29834642705984,308.5
746,3,1,2,1,0,2,18,1,19.253883065404327,72.8526080847677,384.97
3331,1,1,33,1,1,3,18,1,28.680071495390145,77.1528596635695,415.44
2235,3,3,31,1,1,3,17,1,18.35430943954379,74.04907438210667,308.95
1728,3,1,23,0,0,2,12,1,18.27537435173725,73.84468723643377,262.02
2586,3,3,18,0,1,1,2,0,18.345609594002024,73.77828326167483,324.32
2425,3,1,9,0,0,3,14,2,22.72176973920515,88.08128329164016,246.54
3877,2,2,20,0,1,4,9,1,13.176425991526758,77.34752259722723,449.6
2372,3,3,17,0,1,2,14,2,28.66299572773781,76.87854818167735,423.73
2960,2,2,1,0,1,5,0,0,26.747199678627517,75.70621409180444,224.27
3170,4,3,4,1,1,2,19,2,23.242304275536387,72.76224324256957,293.36
1929,2,2,33,1,1,3,12,2,17.197226249134516,78.38120754184254,231.48
2487,2,2,21,0,1,3,3,1,17.44132985853474,78.40853828890593,232.96
309,3,2,33,1,1,1,4,0,22.793017638485008,72.55589972063113,123.25
1904,4,4,21,1,1,2,11,1,17.64086965415383,78.61995793045077,285.73
1172,3,3,5,1,0,3,13,1,22.9382982904741,72.79832032448786,189.2
915,2,2,2,1,1,1,16,2,22.502334732823925,88.38913171666839,143.67
2451,3,3,29,1,1,2,19,2,23.09504365355711,72.59207665518579,231.11
3812,2,1,8,1,0,2,9,1,18.672781175116068,73.61774961844648,367.18
2200,2,2,6,1,1,4,11,2,28.411321843390827,77.16106562072314,409.76
1983,2,2,29,1,1,3,11,2,12.866469716485838,80.03047676180952,260.94
3994,3,3,23,0,1,5,4,2,17.17652342574856,78.53277301610008,376.32
3668,4,1,14,0,0,1,0,2,23.034302834275643,72.62676526144696,298.8
